day,idx,date,count,tavg,prcp,snow,wspd,holiday,std dev
6,1,3/22/2024,0,34.9,0.13,0,10.5,lent friday,
7,2,3/23/2024,0,34,0,0,11.9,,
1,3,3/24/2024,4,37.4,0,0,14.3,,
2,4,3/25/2024,0,50.9,0.47,0,11.9,,
3,5,3/26/2024,0,50.7,0.14,0,19.3,,
4,6,3/27/2024,0,34.3,0,0,12.7,,
5,7,3/28/2024,0,38.5,0,0,7.1,,
6,8,3/29/2024,0,42.3,0.03,0,7.6,good friday,
7,9,3/30/2024,0,48.2,0.4,0,8.7,,
1,10,3/31/2024,0,42.6,0.26,0,10.5,easter,
2,11,4/1/2024,0,43.5,0.44,0,14.3,,
3,12,4/2/2024,0,43.2,0.4,0,14.1,,
4,13,4/3/2024,0,36.1,0.3,0,14.1,,
5,14,4/4/2024,0,38.1,0.07,0,13.7,,
6,15,4/5/2024,0,41.7,0,0,10.5,,
7,16,4/6/2024,0,42.4,0,0,7.6,,
1,17,4/7/2024,3,44.1,0.37,0,10.5,,
2,18,4/8/2024,0,55,0,0,11.2,,
3,19,4/9/2024,0,59.7,0,0,8.5,,
4,20,4/10/2024,0,56.1,0,0,4.9,,
5,21,4/11/2024,0,55.6,0.01,0,9.8,,
6,22,4/12/2024,0,54.1,0.06,0,13.4,,
7,23,4/13/2024,0,55.4,0,0,9.6,,
1,24,4/14/2024,4,69.4,0,0,11.4,,
2,25,4/15/2024,0,62.8,0,0,7.8,,
3,26,4/16/2024,0,62.8,0.1,0,13.9,,
4,27,4/17/2024,6,65.5,0.19,0,17.2,,
5,28,4/18/2024,0,53.6,0.1,0,7.4,,
6,29,4/19/2024,0,49.3,0,0,16.3,,
7,30,4/20/2024,0,42.6,0,0,11.9,,
1,31,4/21/2024,0,43.7,0,0,8.3,,
2,32,4/22/2024,0,53.4,0,0,13.7,,
3,33,4/23/2024,0,59.2,0,0,15.9,,
4,34,4/24/2024,0,45.1,0,0,13.4,,
5,35,4/25/2024,0,43.7,0,0,6,,
6,36,4/26/2024,0,49.3,0.38,0,13.4,,
7,37,4/27/2024,0,65.7,0.03,0,15.7,,
1,38,4/28/2024,0,67.3,0.36,0,9.8,,
2,39,4/29/2024,0,66.4,0.66,0,10.5,,
3,40,4/30/2024,0,60.4,0,0,7.6,,
4,41,5/1/2024,0,69.4,0.01,0,10.5,,
5,42,5/2/2024,0,65.7,0.63,0,8.9,,
6,43,5/3/2024,3,64.6,0.16,0,7.8,,
7,44,5/4/2024,0,63.1,0.22,0,8.5,,
1,45,5/5/2024,52,58.8,0,0,8.1,cinco de mayo,
2,46,5/6/2024,18,58.1,0,0,8.7,,
3,47,5/7/2024,0,65.3,0.78,0,10.1,,
4,48,5/8/2024,0,66.7,0,0,7.1,,
5,49,5/9/2024,0,58.8,0.51,0,11.4,,
6,50,5/10/2024,0,55,0.11,0,8.5,,
7,51,5/11/2024,0,59.7,0,0,9.6,,
1,52,5/12/2024,137,63.7,0,0,9.4,mothers day,
2,53,5/13/2024,5,72.3,0.12,0,8.5,,
3,54,5/14/2024,3,58.1,0.03,0,14.3,,
4,55,5/15/2024,5,57.9,0,0,11.9,,
5,56,5/16/2024,11,61.9,0.48,0,7.1,,
6,57,5/17/2024,24,68.5,0,0,5.3,,
